'ding'xiang 丁香
'yun'shan'mu'gao'shi'pai 云杉木告示牌
'yun'shan'mu'an'niu 云杉木按钮
'yun'shan'mu'ban 云杉木板
'yun'shan'mu'zha'lan 云杉木栅栏
'yun'shan'mu'zha'lan'men 云杉木栅栏门
'yun'shan'mu'lou'ti 云杉木楼梯
'yun'shan'mu'huo'ban'men 云杉木活板门
'yun'shan'mu'chuan 云杉木船
'yun'shan'mu'yun'shu'chuan 云杉木运输船
'yun'shan'mu'men 云杉木门
'yun'shan'shu'ye 云杉树叶
'yun'shan'shu'miao 云杉树苗
'yun'shan'shu'miao'pen'zai 云杉树苗盆栽
'wang'ling'sha'shou 亡灵杀手
'jiao'hu'shi'ti 交互实体
'xian'ren'zhang 仙人掌
'xian'ren'zhang'pen'zai 仙人掌盆栽
'shang'hai'zhi'jian 伤害之箭
'shang'hai'xi'shou 伤害吸收
'shang'hai'yao'shui 伤害药水
'jia'niang'wen'yang'tao'pian 佳酿纹样陶片
'zhen'ce'qi 侦测器
'bao'hu 保护
'xin'biao 信标
'jiang'shi 僵尸
'jiang'shi'shua'guai'dan 僵尸刷怪蛋
'jiang'shi'cun'min 僵尸村民
'jiang'shi'cun'min'shua'guai'dan 僵尸村民刷怪蛋
'jiang'shi'zhu'ling 僵尸猪灵
'jiang'shi'zhu'ling'shua'guai'dan 僵尸猪灵刷怪蛋
'jiang'shi'you'zhu'shou 僵尸疣猪兽
'jiang'shi'you'zhu'shou'shua'guai'dan 僵尸疣猪兽刷怪蛋
'jiang'shi'de'tou 僵尸的头
'jiang'shi'ma 僵尸马
'jiang'shi'ma'shua'guai'dan 僵尸马刷怪蛋
'guang'yuan'fang'kuai 光源方块
'guang'ling'jian 光灵箭
'tu'zi 兔子
'tu'zi'shua'guai'dan 兔子刷怪蛋
'tu'zi'pi 兔子皮
'tu'zi'jiao 兔子脚
'tu'rou'bao 兔肉煲
'lan'hua 兰花
'lan'hua'pen'zai 兰花盆栽
'zai'sheng'zhi'jian 再生之箭
'zai'sheng'yao'shui 再生药水
'bing 冰
'bing'dong'shen'hai 冰冻深海
'bing'ci'zhi'di 冰刺之地
'bing'feng'shan'feng 冰封山峰
'bing'shuang'xing'zhe 冰霜行者
'chong'ji 冲击
'leng'shui'hai'yang 冷水海洋
'leng'shui'shen'hai 冷水深海
'dong'he 冻河
'dong'yang 冻洋
'diao'ling 凋灵
'diao'ling'zhi'shou 凋灵之首
'diao'ling'shua'guai'dan 凋灵刷怪蛋
'diao'ling'mei'gui 凋灵玫瑰
'diao'ling'mei'gui'pen'zai 凋灵玫瑰盆栽
'diao'ling'ku'lou 凋灵骷髅
'diao'ling'ku'lou'shua'guai'dan 凋灵骷髅刷怪蛋
'diao'ling'ku'lou'tou'lu 凋灵骷髅头颅
'diao'ling 凋零
'ning'hui'yan 凝灰岩
'ning'hui'yan'tai'jie 凝灰岩台阶
'ning'hui'yan'qiang 凝灰岩墙
'ning'hui'yan'lou'ti 凝灰岩楼梯
'ning'hui'yan'zhuan 凝灰岩砖
'ning'hui'yan'zhuan'tai'jie 凝灰岩砖台阶
'ning'hui'yan'zhuan'qiang 凝灰岩砖墙
'ning'hui'yan'zhuan'lou'ti 凝灰岩砖楼梯
'ji'tui 击退
'qie'zhi'sha'yan 切制砂岩
'qie'zhi'sha'yan'tai'jie 切制砂岩台阶
'qie'zhi'hong'sha'yan 切制红砂岩
'qie'zhi'hong'sha'yan'tai'jie 切制红砂岩台阶
'qie'zhi'tong'tai'jie 切制铜台阶
'qie'zhi'tong'kuai 切制铜块
'qie'zhi'tong'lou'ti 切制铜楼梯
'qie'shi'ji 切石机
'li'ren'wen'yang'tao'pian 利刃纹样陶片
'gua'xiao'wen'yang'tao'pian 刮削纹样陶片
'zhi'tu'tai 制图台
'zhi'jian'tai 制箭台
'shua'zi 刷子
'shua'guai'long 刷怪笼
'shua'guai'long'kuang'che 刷怪笼矿车
'ju'du'zhi'jian 剧毒之箭
'ju'du'yao'shui 剧毒药水
'jian'dao 剪刀
'li'liang 力量
'li'liang'zhi'jian 力量之箭
'li'liang'yao'shui 力量药水
'dong'li'kuang'che 动力矿车
'dong'li'tie'gui 动力铁轨
'jie'lve'shou 劫掠兽
'jie'lve'shou'shua'guai'dan 劫掠兽刷怪蛋
'bei'ji'xiong 北极熊
'bei'ji'xiong'shua'guai'dan 北极熊刷怪蛋
'qu'yu'xiao'guo'yun 区域效果云
'nan'gua 南瓜
'nan'gua'pai 南瓜派
'nan'gua'deng 南瓜灯
'nan'gua'zhong'zi 南瓜种子
'nan'gua'jing 南瓜茎
'wei'dao'shi 卫道士
'wei'dao'shi'shua'guai'dan 卫道士刷怪蛋
'wei'ji'wen'yang'tao'pian 危机纹样陶片
'yuan'shi'yun'shan'zhen'ye'lin 原始云杉针叶林
'yuan'shi'song'mu'zhen'ye'lin 原始松木针叶林
'yuan'shi'hua'mu'sen'lin 原始桦木森林
'qu'pi'cong'lin'yuan'mu 去皮丛林原木
'qu'pi'cong'lin'mu 去皮丛林木
'qu'pi'yun'shan'yuan'mu 去皮云杉原木
'qu'pi'yun'shan'mu 去皮云杉木
'qu'pi'ying'hua'yuan'mu 去皮樱花原木
'qu'pi'ying'hua'mu 去皮樱花木
'qu'pi'xiang'mu 去皮橡木
'qu'pi'xiang'mu'yuan'mu 去皮橡木原木
'qu'pi'shen'se'xiang'mu 去皮深色橡木
'qu'pi'shen'se'xiang'mu'yuan'mu 去皮深色橡木原木
'qu'pi'bai'hua'yuan'mu 去皮白桦原木
'qu'pi'bai'hua'mu 去皮白桦木
'qu'pi'zhu'kuai 去皮竹块
'qu'pi'hong'shu'yuan'mu 去皮红树原木
'qu'pi'hong'shu'mu 去皮红树木
'qu'pi'fei'hong'jun'bing 去皮绯红菌柄
'qu'pi'fei'hong'jun'he 去皮绯红菌核
'qu'pi'gui'yi'jun'bing 去皮诡异菌柄
'qu'pi'gui'yi'jun'he 去皮诡异菌核
'qu'pi'jin'he'huan'yuan'mu 去皮金合欢原木
'qu'pi'jin'he'huan'mu 去皮金合欢木
'fan'wei 反胃
'fa'guang 发光
'fa'guang'di'yi 发光地衣
'fa'guang'jiang'guo 发光浆果
'fa'guang'you'yu 发光鱿鱼
'fa'guang'you'yu'shua'guai'dan 发光鱿鱼刷怪蛋
'fa'she'qi 发射器
'fa'jiao'zhu'yan 发酵蛛眼
'ke'ke'guo 可可果
'ke'ke'dou 可可豆
'ke'yi'de'sha'zi 可疑的沙子
'ke'yi'de'sha'li 可疑的沙砾
'shi'lai'mu 史莱姆
'shi'lai'mu'shua'guai'dan 史莱姆刷怪蛋
'he'cheng'qi 合成器
'xiang'dao'kui'jia'wen'shi 向导盔甲纹饰
'xiang'ri'kui 向日葵
'xiang'ri'kui'ping'yuan 向日葵平原
'gao'shi'pai 告示牌
'ming'ling'fang'kuai 命令方块
'ming'ling'fang'kuai'kuang'che 命令方块矿车
'ming'ming'pai 命名牌
'pin'hong'se'di'tan 品红色地毯
'pin'hong'se'dai'you'tao'wa 品红色带釉陶瓦
'pin'hong'se'chuang 品红色床
'pin'hong'se'qi'zhi 品红色旗帜
'pin'hong'se'ran'liao 品红色染料
'pin'hong'se'ran'se'bo'li 品红色染色玻璃
'pin'hong'se'ran'se'bo'li'ban 品红色染色玻璃板
'pin'hong'se'hun'ning'tu 品红色混凝土
'pin'hong'se'hun'ning'tu'fen'mo 品红色混凝土粉末
'pin'hong'se'qian'ying'he 品红色潜影盒
'pin'hong'se'yang'mao 品红色羊毛
'pin'hong'se'la'zhu 品红色蜡烛
'pin'hong'se'tao'wa 品红色陶瓦
'mou'gu 哞菇
'mou'gu'shua'guai'dan 哞菇刷怪蛋
'shao'bing'kui'jia'wen'shi 哨兵盔甲纹饰
'ku'qi'de'hei'yao'shi 哭泣的黑曜石
'huan'mo'zhe 唤魔者
'huan'mo'zhe'shua'guai'dan 唤魔者刷怪蛋
'huan'mo'zhe'jian'ya 唤魔者尖牙
'chang'pian'ji 唱片机
'chang'pian'can'pian 唱片残片
'pen'jian'zhi'jian 喷溅之箭
'pen'jian'xing'shang'hai'yao'shui 喷溅型伤害药水
'pen'jian'xing'zai'sheng'yao'shui 喷溅型再生药水
'pen'jian'xing'ju'du'yao'shui 喷溅型剧毒药水
'pen'jian'xing'li'liang'yao'shui 喷溅型力量药水
'pen'jian'xing'ye'shi'yao'shui 喷溅型夜视药水
'pen'jian'xing'ping'fan'de'yao'shui 喷溅型平凡的药水
'pen'jian'xing'xing'yun'yao'shui 喷溅型幸运药水
'pen'jian'xing'kang'huo'yao'shui 喷溅型抗火药水
'pen'jian'xing'shui'ping 喷溅型水瓶
'pen'jian'xing'shui'fei'yao'shui 喷溅型水肺药水
'pen'jian'xing'zhi'liao'yao'shui 喷溅型治疗药水
'pen'jian'xing'nong'chou'de'yao'shui 喷溅型浓稠的药水
'pen'jian'xing'shen'jiang'yao'shui 喷溅型渗浆药水
'pen'jian'xing'pan'si'yao'shui 喷溅型盘丝药水
'pen'jian'xing'shen'gui'yao'shui 喷溅型神龟药水
'pen'jian'xing'cu'zhi'de'yao'shui 喷溅型粗制的药水
'pen'jian'xing'huan'jiang'yao'shui 喷溅型缓降药水
'pen'jian'xing'xu'feng'yao'shui 喷溅型蓄风药水
'pen'jian'xing'xu'ruo'yao'shui 喷溅型虚弱药水
'pen'jian'xing'chong'shi'yao'shui 喷溅型虫蚀药水
'pen'jian'xing'tiao'yue'yao'shui 喷溅型跳跃药水
'pen'jian'xing'xun'jie'yao'shui 喷溅型迅捷药水
'pen'jian'xing'chi'huan'yao'shui 喷溅型迟缓药水
'pen'jian'xing'yin'shen'yao'shui 喷溅型隐身药水
'pen'jian'xing'piao'fu'yao'shui 喷溅型飘浮药水
'pen'jian'yao'shui 喷溅药水
'xiu'tan'shou 嗅探兽
'xiu'tan'shou'shua'guai'dan 嗅探兽刷怪蛋
'xiu'tan'shou'dan 嗅探兽蛋
'xiu'tan'wen'yang'tao'pian 嗅探纹样陶片
'hui'xiang'sui'pian 回响碎片
'yuan'shi 圆石
'yuan'shi'tai'jie 圆石台阶
'yuan'shi'qiang 圆石墙
'yuan'shi'lou'ti 圆石楼梯
'tu'jing 土径
'di'tu 地图
'chui'gen 垂根
'chui'lei'teng 垂泪藤
'chui'lei'teng'zhi'zhu 垂泪藤植株
'chui'diao'wen'yang'tao'pian 垂钓纹样陶片
'ji'yan 基岩
'dui'fei'tong 堆肥桶
'su'zao'kui'jia'wen'shi 塑造盔甲纹饰
'qiang'shang'de'cong'lin'mu'gao'shi'pai 墙上的丛林木告示牌
'qiang'shang'de'yun'shan'mu'gao'shi'pai 墙上的云杉木告示牌
'qiang'shang'de'jiang'shi'de'tou 墙上的僵尸的头
'qiang'shang'de'diao'ling'ku'lou'tou'lu 墙上的凋灵骷髅头颅
'qiang'shang'de'shi'huo'qi'pao'shan'hu'shan 墙上的失活气泡珊瑚扇
'qiang'shang'de'shi'huo'huo'shan'hu'shan 墙上的失活火珊瑚扇
'qiang'shang'de'shi'huo'guan'shan'hu'shan 墙上的失活管珊瑚扇
'qiang'shang'de'shi'huo'nao'wen'shan'hu'shan 墙上的失活脑纹珊瑚扇
'qiang'shang'de'shi'huo'lu'jiao'shan'hu'shan 墙上的失活鹿角珊瑚扇
'qiang'shang'de'xuan'gua'shi'cong'lin'mu'gao'shi'pai 墙上的悬挂式丛林木告示牌
'qiang'shang'de'xuan'gua'shi'yun'shan'mu'gao'shi'pai 墙上的悬挂式云杉木告示牌
'qiang'shang'de'xuan'gua'shi'ying'hua'mu'gao'shi'pai 墙上的悬挂式樱花木告示牌
'qiang'shang'de'xuan'gua'shi'xiang'mu'gao'shi'pai 墙上的悬挂式橡木告示牌
'qiang'shang'de'xuan'gua'shi'shen'se'xiang'mu'gao'shi'pai 墙上的悬挂式深色橡木告示牌
'qiang'shang'de'xuan'gua'shi'bai'hua'mu'gao'shi'pai 墙上的悬挂式白桦木告示牌
'qiang'shang'de'xuan'gua'shi'zhu'gao'shi'pai 墙上的悬挂式竹告示牌
'qiang'shang'de'xuan'gua'shi'hong'shu'mu'gao'shi'pai 墙上的悬挂式红树木告示牌
'qiang'shang'de'xuan'gua'shi'fei'hong'mu'gao'shi'pai 墙上的悬挂式绯红木告示牌
'qiang'shang'de'xuan'gua'shi'gui'yi'mu'gao'shi'pai 墙上的悬挂式诡异木告示牌
'qiang'shang'de'xuan'gua'shi'jin'he'huan'mu'gao'shi'pai 墙上的悬挂式金合欢木告示牌
'qiang'shang'de'ying'hua'mu'gao'shi'pai 墙上的樱花木告示牌
'qiang'shang'de'xiang'mu'gao'shi'pai 墙上的橡木告示牌
'qiang'shang'de'qi'pao'shan'hu'shan 墙上的气泡珊瑚扇
'qiang'shang'de'shen'se'xiang'mu'gao'shi'pai 墙上的深色橡木告示牌
'qiang'shang'de'huo'ba 墙上的火把
'qiang'shang'de'huo'shan'hu'shan 墙上的火珊瑚扇
'qiang'shang'de'ling'hun'huo'ba 墙上的灵魂火把
'qiang'shang'de'zhu'ling'de'tou 墙上的猪灵的头
'qiang'shang'de'wan'jia'de'tou 墙上的玩家的头
'qiang'shang'de'bai'hua'mu'gao'shi'pai 墙上的白桦木告示牌
'qiang'shang'de'zhu'gao'shi'pai 墙上的竹告示牌
'qiang'shang'de'guan'shan'hu'shan 墙上的管珊瑚扇
'qiang'shang'de'hong'shu'mu'gao'shi'pai 墙上的红树木告示牌
'qiang'shang'de'hong'shi'huo'ba 墙上的红石火把
'qiang'shang'de'fei'hong'mu'gao'shi'pai 墙上的绯红木告示牌
'qiang'shang'de'nao'wen'shan'hu'shan 墙上的脑纹珊瑚扇
'qiang'shang'de'ku'li'pa'de'tou 墙上的苦力怕的头
'qiang'shang'de'gui'yi'mu'gao'shi'pai 墙上的诡异木告示牌
'qiang'shang'de'jin'he'huan'mu'gao'shi'pai 墙上的金合欢木告示牌
'qiang'shang'de'ku'lou'tou'lu 墙上的骷髅头颅
'qiang'shang'de'lu'jiao'shan'hu'shan 墙上的鹿角珊瑚扇
'qiang'shang'de'long'shou 墙上的龙首
'mo'nang 墨囊
'duo'chong'she'ji 多重射击
'ye'shi 夜视
'ye'shi'zhi'jian 夜视之箭
'ye'shi'yao'shui 夜视药水
'da'xing'chui'di'ye 大型垂滴叶
'da'xing'chui'di'ye'jing 大型垂滴叶茎
'da'xing'zi'jing'ya 大型紫晶芽
'da'xing'jue 大型蕨
'shi'ming 失明
'shi'huo'de'qi'pao'shan'hu 失活的气泡珊瑚
'shi'huo'de'qi'pao'shan'hu'kuai 失活的气泡珊瑚块
'shi'huo'de'qi'pao'shan'hu'shan 失活的气泡珊瑚扇
'shi'huo'de'huo'shan'hu 失活的火珊瑚
'shi'huo'de'huo'shan'hu'kuai 失活的火珊瑚块
'shi'huo'de'huo'shan'hu'shan 失活的火珊瑚扇
'shi'huo'de'guan'shan'hu 失活的管珊瑚
'shi'huo'de'guan'shan'hu'kuai 失活的管珊瑚块
'shi'huo'de'guan'shan'hu'shan 失活的管珊瑚扇
'shi'huo'de'nao'wen'shan'hu 失活的脑纹珊瑚
'shi'huo'de'nao'wen'shan'hu'kuai 失活的脑纹珊瑚块
'shi'huo'de'nao'wen'shan'hu'shan 失活的脑纹珊瑚扇
'shi'huo'de'lu'jiao'shan'hu 失活的鹿角珊瑚
'shi'huo'de'lu'jiao'shan'hu'kuai 失活的鹿角珊瑚块
'shi'huo'de'lu'jiao'shan'hu'shan 失活的鹿角珊瑚扇
'tou'lu'wen'yang'tao'pian 头颅纹样陶片
'nv'wu 女巫
'nv'wu'shua'guai'dan 女巫刷怪蛋
'nai'tong 奶桶
'bao'zi'hua 孢子花
'shou'wei'zhe 守卫者
'shou'wei'zhe'shua'guai'dan 守卫者刷怪蛋
'an'shan'yan 安山岩
'an'shan'yan'tai'jie 安山岩台阶
'an'shan'yan'qiang 安山岩墙
'an'shan'yan'lou'ti 安山岩楼梯
'bao'ku 宝库
'ji'sheng 寄生
'fu'rao'wen'yang'tao'pian 富饶纹样陶片
'xiao'xing'chui'di'ye 小型垂滴叶
'xiao'xing'zi'jing'ya 小型紫晶芽
'xiao'huo'qiu 小火球
'xiao'mai 小麦
'xiao'mai'zhi'zhu 小麦植株
'xiao'mai'zhong'zi 小麦种子
'jian'ta'kui'jia'wen'shi 尖塔盔甲纹饰
'jian'qiao'shan'feng 尖峭山峰
'shi'ke 尸壳
'shi'ke'shua'guai'dan 尸壳刷怪蛋
'ping'zhang 屏障
'shan'yang 山羊
'shan'yang'shua'guai'dan 山羊刷怪蛋
'shan'yang'jiao 山羊角
'yan'jiang'kuai 岩浆块
'yan'jiang'guai 岩浆怪
'yan'jiang'guai'shua'guai'dan 岩浆怪刷怪蛋
'yan'jiang'gao 岩浆膏
'gong'zuo'tai 工作台
'ju'ren 巨人
'gan'hai'dai 干海带
'gan'hai'dai'kuai 干海带块
'gan'cao'kun 干草捆
'ping'fan'de'yao'shui 平凡的药水
'ping'yuan 平原
'ping'yuan'cun'zhuang'di'tu 平原村庄地图
'ping'hua'xuan'wu'yan 平滑玄武岩
'ping'hua'shi'tou 平滑石头
'ping'hua'shi'tou'tai'jie 平滑石头台阶
'ping'hua'shi'ying'tai'jie 平滑石英台阶
'ping'hua'shi'ying'kuai 平滑石英块
'ping'hua'shi'ying'lou'ti 平滑石英楼梯
'ping'hua'sha'yan 平滑砂岩
'ping'hua'sha'yan'tai'jie 平滑砂岩台阶
'ping'hua'sha'yan'lou'ti 平滑砂岩楼梯
'ping'hua'hong'sha'yan 平滑红砂岩
'ping'hua'hong'sha'yan'tai'jie 平滑红砂岩台阶
'ping'hua'hong'sha'yan'lou'ti 平滑红砂岩楼梯
'xing'yun 幸运
'xing'yun'zhi'jian 幸运之箭
'xing'yun'yao'shui 幸运药水
'huan'shu'shi 幻术师
'huan'yi 幻翼
'huan'yi'shua'guai'dan 幻翼刷怪蛋
'huan'yi'mo 幻翼膜
'you'ni'cui'fa'ti 幽匿催发体
'you'ni'kuai 幽匿块
'you'ni'jian'xiao'ti 幽匿尖啸体
'you'ni'gan'ce'ti 幽匿感测体
'you'ni'mai'luo 幽匿脉络
'you'jing'kui'jia'wen'shi 幽静盔甲纹饰
'kai'lie'de'tie'zhen 开裂的铁砧
'gong 弓
'gong'jian'wen'yang'tao'pian 弓箭纹样陶片
'yin'lei 引雷
'nu 弩
'tan'she'wu'bao'hu 弹射物保护
'qiang'hua'shen'ban'yan 强化深板岩
'xun'huan'xing'ming'ling'fang'kuai 循环型命令方块
'xin'sui'wen'yang'tao'pian 心碎纹样陶片
'zhong'cheng 忠诚
'kuai'su'zhuang'tian 快速装填
'ji'po 急迫
'e'di 恶地
'e'hun 恶魂
'e'hun'zhi'lei 恶魂之泪
'e'hun'shua'guai'dan 恶魂刷怪蛋
'nao'gui 恼鬼
'nao'gui'shua'guai'dan 恼鬼刷怪蛋
'nao'gui'kui'jia'wen'shi 恼鬼盔甲纹饰
'yue'ling 悦灵
'yue'ling'shua'guai'dan 悦灵刷怪蛋
'xuan'gua'shi'cong'lin'mu'gao'shi'pai 悬挂式丛林木告示牌
'xuan'gua'shi'yun'shan'mu'gao'shi'pai 悬挂式云杉木告示牌
'xuan'gua'shi'ying'hua'mu'gao'shi'pai 悬挂式樱花木告示牌
'xuan'gua'shi'xiang'mu'gao'shi'pai 悬挂式橡木告示牌
'xuan'gua'shi'shen'se'xiang'mu'gao'shi'pai 悬挂式深色橡木告示牌
'xuan'gua'shi'bai'hua'mu'gao'shi'pai 悬挂式白桦木告示牌
'xuan'gua'shi'zhu'gao'shi'pai 悬挂式竹告示牌
'xuan'gua'shi'hong'shu'mu'gao'shi'pai 悬挂式红树木告示牌
'xuan'gua'shi'fei'hong'mu'gao'shi'pai 悬挂式绯红木告示牌
'xuan'gua'shi'gui'yi'mu'gao'shi'pai 悬挂式诡异木告示牌
'xuan'gua'shi'jin'he'huan'mu'gao'shi'pai 悬挂式金合欢木告示牌
'bei'tong'wen'yang'tao'pian 悲恸纹样陶片
'cheng'shu 成书
'da'huo'shi 打火石
'tou'zhi'qi 投掷器
'kang'xing'ti'sheng 抗性提升
'kang'huo 抗火
'kang'huo'zhi'jian 抗火之箭
'kang'huo'yao'shui 抗火药水
'qiang'duo 抢夺
'la'gan 拉杆
'shuan'sheng 拴绳
'shuan'sheng'jie 拴绳结
'pin'tu'fang'kuai 拼图方块
'zhi'nan'zhen 指南针
'wa'jue'pi'lao 挖掘疲劳
'zhi'you'wen'yang'tao'pian 挚友纹样陶片
'sun'huai'de'tie'zhen 损坏的铁砧
'lve'duo'zhe 掠夺者
'lve'duo'zhe'shua'guai'dan 掠夺者刷怪蛋
'tan'ce'tie'gui 探测铁轨
'tan'xian'wen'yang'tao'pian 探险纹样陶片
'zhi'chu'de'mo'ying'zhen'zhu 掷出的末影珍珠
'zhi'chu'de'fu'mo'zhi'ping 掷出的附魔之瓶
'zhi'chu'de'ji'dan 掷出的鸡蛋
'cha'shang'pin'hong'se'la'zhu'de'dan'gao 插上品红色蜡烛的蛋糕
'cha'shang'zong'se'la'zhu'de'dan'gao 插上棕色蜡烛的蛋糕
'cha'shang'cheng'se'la'zhu'de'dan'gao 插上橙色蜡烛的蛋糕
'cha'shang'dan'hui'se'la'zhu'de'dan'gao 插上淡灰色蜡烛的蛋糕
'cha'shang'dan'lan'se'la'zhu'de'dan'gao 插上淡蓝色蜡烛的蛋糕
'cha'shang'hui'se'la'zhu'de'dan'gao 插上灰色蜡烛的蛋糕
'cha'shang'bai'se'la'zhu'de'dan'gao 插上白色蜡烛的蛋糕
'cha'shang'fen'hong'se'la'zhu'de'dan'gao 插上粉红色蜡烛的蛋糕
'cha'shang'zi'se'la'zhu'de'dan'gao 插上紫色蜡烛的蛋糕
'cha'shang'hong'se'la'zhu'de'dan'gao 插上红色蜡烛的蛋糕
'cha'shang'lv'se'la'zhu'de'dan'gao 插上绿色蜡烛的蛋糕
'cha'shang'lan'se'la'zhu'de'dan'gao 插上蓝色蜡烛的蛋糕
'cha'shang'la'zhu'de'dan'gao 插上蜡烛的蛋糕
'cha'shang'qing'se'la'zhu'de'dan'gao 插上青色蜡烛的蛋糕
'cha'shang'huang'lv'se'la'zhu'de'dan'gao 插上黄绿色蜡烛的蛋糕
'cha'shang'huang'se'la'zhu'de'dan'gao 插上黄色蜡烛的蛋糕
'cha'shang'hei'se'la'zhu'de'dan'gao 插上黑色蜡烛的蛋糕
'shuai'luo'huan'chong 摔落缓冲
'shou'na'dai 收纳袋
'xiao'lv 效率
'wen'ben'zhan'shi'shi'ti 文本展示实体
'ban'bo'de'qie'zhi'tong'tai'jie 斑驳的切制铜台阶
'ban'bo'de'qie'zhi'tong'kuai 斑驳的切制铜块
'ban'bo'de'qie'zhi'tong'lou'ti 斑驳的切制铜楼梯
'ban'bo'de'tong'kuai 斑驳的铜块
'ban'bo'de'tong'ge'zha 斑驳的铜格栅
'ban'bo'de'tong'huo'ban'men 斑驳的铜活板门
'ban'bo'de'tong'deng 斑驳的铜灯
'ban'bo'de'tong'men 斑驳的铜门
'ban'bo'de'diao'wen'tong'kuai 斑驳的雕纹铜块
'fang'kuai'zhan'shi'shi'ti 方块展示实体
'fang'jie'shi 方解石
'xuan'feng'ren 旋风人
'xuan'feng'ren'shua'guai'dan 旋风人刷怪蛋
'xuan'feng'bang 旋风棒
'xuan'feng'wen'yang'tao'pian 旋风纹样陶片
'qi'zhi'tu'an 旗帜图案
'wu'xian 无限
'shi'yun 时运
'shi'zhong 时钟
'nuan'shui'hai'yang 暖水海洋
'an'hai'jing'shi 暗海晶石
'an'hai'jing'shi'tai'jie 暗海晶石台阶
'an'hai'jing'shi'lou'ti 暗海晶石楼梯
'qu'qi 曲奇
'wang'yuan'jing 望远镜
'mu'jian 木剑
'mu'fu 木斧
'mu'tong 木桶
'mu'gun 木棍
'mu'tan 木炭
'mu'chu 木锄
'mu'qiao 木锹
'mu'gao 木镐
'mo'di 末地
'mo'di'chuan'song'men 末地传送门
'mo'di'chuan'song'men'kuang'jia 末地传送门框架
'mo'di'nei'lu 末地内陆
'mo'di'xiao'xing'dao'yu 末地小型岛屿
'mo'di'zhe'yue'men 末地折跃门
'mo'di'shui'jing 末地水晶
'mo'di'zhu 末地烛
'mo'di'shi 末地石
'mo'di'shi'zhuan 末地石砖
'mo'di'shi'zhuan'tai'jie 末地石砖台阶
'mo'di'shi'zhuan'qiang 末地石砖墙
'mo'di'shi'zhuan'lou'ti 末地石砖楼梯
'mo'di'huang'di 末地荒地
'mo'di'gao'di 末地高地
'mo'ying'zhi'yan 末影之眼
'mo'ying'ren 末影人
